iter	Passed	Remaining
685	138581	164438
686	138803	164260
687	138980	164028
688	139153	163793
689	139346	163580
690	139697	163553
691	139889	163338
692	140092	163137
693	140324	162970
694	140531	162773
695	140724	162560
696	140903	162332
697	141079	162100
698	141269	161883
699	141461	161670
700	141652	161455
701	141840	161237
702	142022	161012
703	142226	160812
704	142404	160583
705	142593	160367
706	142801	160172
707	143013	159981
708	143233	159799
709	143439	159602
710	143633	159390
711	143820	159171
712	144006	158952
713	144194	158734
714	144399	158536
715	144595	158327
716	144781	158108
717	144977	157900
718	145171	157689
719	145398	157515
720	145586	157298
721	145769	157075
722	145957	156858
723	146138	156634
724	146331	156423
725	146527	156215
726	146733	156017
727	146909	155788
728	147090	155565
729	147276	155345
730	147466	155132
731	147661	154923
732	147856	154714
733	148042	154496
734	148227	154277
735	148405	154051
736	148600	153843
737	148797	153636
738	149003	153439
739	149296	153331
740	149485	153116
741	149672	152899
742	149874	152698
743	150053	152473
744	150240	152257
745	150427	152040
746	150629	151839
747	150810	151617
748	150993	151396
749	151201	151201
750	151395	150992
751	151581	150775
752	151765	150556
753	151967	150354
754	152160	150145
755	152348	149930
756	152533	149713
757	152721	149497
758	152899	149273
759	153077	149048
760	153271	148840
761	153467	148634
762	153657	148421
763	153877	148238
764	154083	148041
765	154289	147844
766	154489	147641
767	154672	147422
768	154855	147203
769	155029	146976
770	155212	146757
771	155410	146552
772	155647	146385
773	155836	146171
774	156023	145957
775	156211	145743
776	156398	145529
777	156593	145321
778	156790	145116
779	156974	144899
780	157175	144698
781	157361	144482
782	157550	144270
783	157732	144051
784	157911	143830
785	158106	143623
786	158290	143407
787	158488	143202
788	158672	142986
789	158854	142767
790	159039	142552
791	159226	142338
792	159405	142118
793	159594	141906
794	159785	141696
795	159996	141504
796	160191	141297
797	160375	141082
798	160563	140870
799	160769	140673
800	160971	140473
801	161153	140255
802	161329	140033
803	161513	139817
804	161702	139606
805	161891	139395
806	162068	139173
807	162253	138959
808	162436	138743
809	162620	138528
810	162806	138315
811	162997	138106
812	163176	137887
813	163373	137683
814	163572	137481
815	163761	137270
816	163955	137064
817	164137	136848
818	164317	136629
819	164545	136452
820	164731	136239
821	164921	136029
822	165105	135815
823	165288	135601
824	165479	135392
825	165680	135191
826	165866	134979
827	166045	134761
828	166222	134542
829	166406	134328
830	166588	134112
831	166764	133892
832	166963	133690
833	167177	133501
834	167407	133324
835	167590	133110
836	167790	132909
837	168165	132846
838	168365	132645
839	168555	132436
840	168746	132228
841	168924	132009
842	169108	131795
843	169299	131588
844	169481	131373
845	169664	131158
846	169850	130947
847	170060	130753
848	170301	130584
849	170484	130370
850	170683	130168
851	170910	129988
852	171098	129778
853	171288	129569
854	171475	129358
855	171659	129145
856	171841	128930
857	172023	128717
858	172230	128521
859	172415	128309
860	172603	128099
861	172810	127903
862	173010	127703
863	173210	127502
864	173397	127291
865	173596	127090
866	173773	126872
867	173957	126660
868	174144	126450
869	174329	126238
870	174503	126019
871	174701	125817
872	174903	125618
873	175103	125417
874	175299	125214
875	175502	125015
876	175703	124815
877	175880	124598
878	176064	124386
879	176257	124181
880	176434	123964
881	176629	123760
882	176814	123549
883	176996	123337
884	177188	123131
885	177400	122938
886	177599	122737
887	177779	122523
888	177971	122317
889	178173	122119
890	178364	121912
891	178558	121708
892	178746	121499
893	178931	121288
894	179117	121079
895	179316	120878
896	179502	120668
897	179700	120467
898	179894	120263
899	180074	120049
900	180262	119841
901	180446	119630
902	180642	119427
903	180849	119232
904	181061	119040
905	181246	118830
906	181425	118616
907	181606	118404
908	181790	118193
909	181964	117977
910	182171	117781
911	182364	117577
912	182541	117362
913	182744	117164
914	182978	116986
915	183206	116803
916	183416	116610
917	183610	116406
918	183789	116193
919	183967	115979
920	184152	115769
921	184334	115559
922	184521	115350
923	184708	115143
924	184946	114966
925	185134	114759
926	185326	114554
927	185527	114355
928	185722	114152
929	185919	113950
930	186105	113742
931	186303	113540
932	186483	113329
933	186667	113119
934	186845	112906
935	187028	112696
936	187216	112489
937	187467	112320
938	187670	112122
939	187848	111909
940	188042	111706
941	188273	111525
942	188616	111409
943	188877	111245
944	189066	111038
945	189269	110840
946	189464	110637
947	189662	110436
948	189851	110229
949	190051	110029
950	190253	109831
951	190442	109624
952	190648	109427
953	190833	109219
954	191039	109022
955	191260	108834
956	191462	108635
957	192029	108642
958	192290	108476
959	192498	108280
960	192866	108173
961	193070	107975
962	193255	107765
963	193443	107557
964	193692	107383
965	193928	107202
966	194129	107002
967	194313	106792
968	194552	106612
969	194930	106508
970	195141	106312
971	195354	106118
972	195565	105923
973	195760	105718
974	195965	105520
975	196192	105332
976	196432	105152
977	196647	104958
978	196852	104760
979	197241	104658
980	197442	104457
981	197662	104265
982	197845	104055
983	198030	103845
984	198219	103637
985	198458	103455
986	198786	103320
987	199021	103136
988	199219	102933
989	199405	102723
990	199603	102520
991	199815	102324
992	200008	102119
993	200193	101909
994	200379	101700
995	200559	101487
996	200743	101277
997	200928	101068
998	201106	100855
999	201340	100670
1000	201526	100461
1001	201715	100253
1002	201909	100048
1003	202103	99844
1004	202301	99641
1005	202497	99437
1006	202678	99226
1007	202858	99014
1008	203044	98805
1009	203221	98592
1010	203415	98388
1011	203606	98181
1012	203787	97970
1013	203986	97768
1014	204181	97564
1015	204364	97354
1016	204550	97146
1017	204751	96945
1018	204947	96741
1019	205128	96531
1020	205310	96321
1021	205499	96114
1022	205688	95907
1023	205878	95701
1024	206067	95494
1025	206240	95280
1026	206427	95073
1027	206635	94875
1028	206819	94666
1029	207011	94461
1030	207188	94249
1031	207381	94044
1032	207582	93844
1033	207761	93633
1034	207937	93421
1035	208120	93212
1036	208300	93001
1037	208479	92791
1038	208678	92589
1039	208878	92388
1040	209060	92179
1041	209243	91970
1042	209425	91761
1043	209635	91565
1044	209913	91397
1045	210146	91210
1046	210367	91018
1047	210578	90822
1048	210776	90619
1049	210954	90409
1050	211138	90200
1051	211318	89991
1052	211528	89794
1053	211711	89585
1054	211894	89377
1055	212071	89166
1056	212262	88961
1057	212458	88758
1058	212689	88570
1059	212968	88402
1060	213159	88196
1061	213344	87989
1062	213540	87786
1063	213736	87583
1064	213923	87377
1065	214104	87168
1066	214290	86961
1067	214473	86753
1068	214659	86546
1069	214841	86338
1070	215023	86130
1071	215230	85931
1072	215428	85729
1073	215638	85532
1074	215833	85329
1075	216018	85122
1076	216218	84921
1077	216410	84717
1078	216599	84511
1079	216796	84309
1080	216993	84107
1081	217194	83906
1082	217383	83701
1083	217563	83493
1084	217753	83288
1085	217939	83082
1086	218122	82874
1087	218316	82671
1088	218528	82474
1089	218719	82270
1090	218902	82063
1091	219091	81858
1092	219310	81664
1093	219541	81475
1094	219717	81265
1095	219905	81060
1096	220085	80851
1097	220268	80644
1098	220460	80441
1099	220705	80256
1100	220889	80049
1101	221071	79842
1102	221257	79636
1103	221435	79428
1104	221653	79233
1105	221839	79027
1106	222048	78830
1107	222244	78628
1108	222423	78419
1109	222612	78215
1110	222869	78034
1111	223064	77831
1112	223263	77630
1113	223489	77439
1114	223714	77246
1115	223988	77071
1116	224256	76893
1117	224456	76692
1118	224662	76493
1119	224879	76298
1120	225073	76095
1121	225275	75894
1122	225475	75694
1123	225666	75489
1124	225859	75286
1125	226096	75097
1126	226624	75005
1127	226823	74803
1128	227025	74602
1129	227221	74399
1130	227403	74192
1131	227609	73993
1132	227815	73793
1133	228011	73590
1134	228214	73390
1135	228495	73215
1136	228727	73023
1137	228919	72819
1138	229136	72623
1139	229325	72418
1140	229508	72211
1141	229685	72003
1142	229887	71802
1143	230086	71600
1144	230277	71396
1145	230460	71189
1146	230657	70987
1147	230844	70781
1148	231054	70583
1149	231256	70382
1150	231463	70183
1151	231683	69987
1152	231935	69802
1153	232168	69610
1154	232415	69422
1155	232615	69221
1156	232810	69018
1157	233005	68814
1158	233212	68615
1159	233420	68416
1160	233667	68228
1161	234026	68073
1162	234316	67897
1163	234509	67693
1164	234697	67488
1165	234875	67279
1166	235072	67077
1167	235270	66874
1168	235465	66671
1169	235659	66468
1170	235856	66265
1171	236063	66065
1172	236265	65864
1173	236456	65659
1174	236645	65455
1175	236820	65246
1176	237004	65040
1177	237203	64838
1178	237403	64636
1179	237597	64433
1180	237774	64225
1181	237975	64023
1182	238154	63816
1183	238333	63609
1184	238520	63404
1185	238711	63200
1186	238920	63000
1187	239124	62800
1188	239310	62595
1189	239498	62390
1190	239695	62187
1191	239887	61984
1192	240121	61791
1193	240337	61593
1194	240535	61391
1195	240741	61191
1196	240935	60988
1197	241131	60786
1198	241326	60583
1199	241517	60379
1200	241706	60174
1201	241901	59972
1202	242104	59771
1203	242300	59568
1204	242498	59366
1205	242678	59160
1206	242862	58955
1207	243052	58751
1208	243241	58547
1209	243422	58340
1210	243610	58136
1211	243791	57930
1212	243983	57727
1213	244198	57529
1214	244394	57327
1215	244598	57126
1216	244798	56925
1217	244982	56720
1218	245171	56516
1219	245365	56313
1220	245563	56111
1221	245759	55909
1222	245977	55712
1223	246170	55509
1224	246353	55303
1225	246543	55100
1226	246721	54893
1227	246903	54688
1228	247096	54485
